Variable,Coefficient,Std.Err,p-value,CI Lower,CI Upper
Intercept,-0.5759046889187753,1.4536416704382313,0.691971771562029,-3.4249900094043513,2.2731806315668006
age_group[T.21-30],-1.1087397526045937,1.9535348855451158,0.570336732133787,-4.937597770815597,2.72011826560641
age_group[T.31-40],-1.006667855955202,1.9701446214385838,0.609378085066346,-4.8680803583101255,2.854744646399721
age_group[T.41-50],-0.7668950019509564,2.0328973046332384,0.7059934938561001,-4.751300503300654,3.217510499398742
age_group[T.51+],0.06233186643697232,2.2224173674179095,0.9776247634361307,-4.293526132318451,4.418189865192396
autonomy_freedom,0.1630484240525846,0.06907707197811215,0.01825602069634231,0.02765985081800379,0.29843699728716544
autonomy_freedom:age_group[T.21-30],0.0037993318655305647,0.07702820049630846,0.9606611669690055,-0.14717316690116433,0.15477183063222544
autonomy_freedom:age_group[T.31-40],-0.02654325252322715,0.07843655947095353,0.7350586924548175,-0.18027608415753013,0.12718957911107584
autonomy_freedom:age_group[T.41-50],-0.01930816849484264,0.09306214867719682,0.8356380826196939,-0.20170662822606023,0.16309029123637497
autonomy_freedom:age_group[T.51+],-0.12450295681726639,0.11558111564813629,0.28139487072315983,-0.35103778078057235,0.1020318671460396
autonomy_interesting,0.17134178057497812,0.05932484814343463,0.0038745853300258155,0.05506721482553835,0.2876163463244179
autonomy_interesting:age_group[T.21-30],-0.1446797282879216,0.06768907570806117,0.0325641533738026,-0.27734787882252654,-0.012011577753316655
autonomy_interesting:age_group[T.31-40],-0.06495339836175766,0.07082049153716094,0.35906119839745865,-0.20375901114201678,0.07385221441850147
autonomy_interesting:age_group[T.41-50],-0.175974768762764,0.09528248837670665,0.06476537587095398,-0.3627250143384654,0.010775476812937362
autonomy_interesting:age_group[T.51+],-0.0466351431738383,0.10816473753723051,0.6663598676005702,-0.25863413314403777,0.16536384679636115
autonomy_options,-0.07857764423215749,0.07262028780493733,0.27923727524650555,-0.22091079287676796,0.06375550441245298
autonomy_options:age_group[T.21-30],0.12828898804396083,0.08176870706082177,0.11666536077302507,-0.03197473285765587,0.2885527089455775
autonomy_options:age_group[T.31-40],0.1185316611820719,0.0853276208096638,0.16479142947663572,-0.0487074024913596,0.28577072485550337
autonomy_options:age_group[T.41-50],0.005155815257052273,0.11537704707209118,0.9643570642104232,-0.2209790416468289,0.23129067216093346
autonomy_options:age_group[T.51+],0.3986105321126069,0.14977467605389172,0.007781612890962894,0.10505756125082544,0.6921635029743883
competence_matched,0.07224350077021958,0.051301668141715315,0.15906901907085313,-0.02830592113436832,0.1727929226748075
competence_matched:age_group[T.21-30],-0.05822776983048625,0.0569728412520038,0.3067682228943245,-0.16989248678133156,0.05343694712035908
competence_matched:age_group[T.31-40],-0.0415524681935927,0.05928648592420055,0.48338047611811763,-0.15775184537496664,0.07464690898778123
competence_matched:age_group[T.41-50],-0.06472982762898948,0.07893956892308127,0.41222057656849176,-0.21944853967334604,0.0899888844153671
competence_matched:age_group[T.51+],-0.2992806877461105,0.10416807197650713,0.0040652225339184046,-0.5034463571590405,-0.09511501833318045
competence_capable,0.10095561326334067,0.07379152639719502,0.17127472870363247,-0.04367312083939827,0.2455843473660796
competence_capable:age_group[T.21-30],0.0706536375655507,0.0823049415786189,0.3906510000243135,-0.09066108367821556,0.23196835880931693
competence_capable:age_group[T.31-40],0.007842969683884465,0.08526002576223618,0.9267069174220739,-0.15926361013105564,0.17494954949882455
competence_capable:age_group[T.41-50],0.04077737868802678,0.11323840121238352,0.7187708312178351,-0.1811658093551417,0.26272056673119526
competence_capable:age_group[T.51+],0.13296290802909422,0.15512365241538623,0.39136673131164335,-0.17107386385537254,0.436999679913561
competence_competent,0.07250193562017081,0.05795449325637932,0.2109290348377596,-0.0410867839046021,0.18609065514494372
competence_competent:age_group[T.21-30],0.023195313642329882,0.06649223536286583,0.7272075996956715,-0.10712707292044774,0.1535177002051075
competence_competent:age_group[T.31-40],0.022786854985198106,0.07187252230754355,0.7512091282798532,-0.11808070021563888,0.1636544101860351
competence_competent:age_group[T.41-50],-0.0820275264290455,0.09910889745848876,0.4078684719168534,-0.27627739599515677,0.11222234313706576
competence_competent:age_group[T.51+],-0.0415756043487198,0.11887968554610849,0.7265425244421155,-0.27457550651253926,0.19142429781509968
related_important,0.08933830213608943,0.08880760825303832,0.3144272255245053,-0.08472141159300775,0.26339801586518663
related_important:age_group[T.21-30],0.019463083744554112,0.10050686411146025,0.846450494030407,-0.17752675011296928,0.2164529176020775
related_important:age_group[T.31-40],-0.10210065401404006,0.10572858209744439,0.3342011259092782,-0.3093248670615174,0.10512355903343726
related_important:age_group[T.41-50],0.1871691459350828,0.1428469223179827,0.19010188700402575,-0.09280567711055418,0.46714396898071975
related_important:age_group[T.51+],-0.035792398116350134,0.18093651282535858,0.8431878991571189,-0.39042144674232254,0.31883665050962223
related_fulfilling,-0.17019875608242652,0.09259272762316534,0.06604120598639071,-0.35167716745415756,0.011279655289304552
related_fulfilling:age_group[T.21-30],0.21326312180729634,0.10378491042872705,0.03989284473882774,0.00984843522827586,0.41667780838631685
related_fulfilling:age_group[T.31-40],0.24267499151651958,0.11018393264521582,0.027633288139606735,0.026718451856909436,0.45863153117612976
related_fulfilling:age_group[T.41-50],0.19026830616244902,0.14739066497702216,0.19673436311651993,-0.09861208884992353,0.47914870117482156
related_fulfilling:age_group[T.51+],0.21033452127290567,0.1896540146298423,0.2674114870536246,-0.16138051692501773,0.582049559470829
related_not_close,-0.23108233484645116,0.04819051129594374,1.6252615168968741e-06,-0.32553400138307154,-0.13663066830983078
related_not_close:age_group[T.21-30],0.10608102208047439,0.05460511284318489,0.05205314828141332,-0.0009430324639135429,0.21310507662486233
related_not_close:age_group[T.31-40],0.05754239800801478,0.055930830665536876,0.3035672851047494,-0.052080015721845924,0.16716481173787548
related_not_close:age_group[T.41-50],0.19855690277210516,0.06726767912235937,0.003159857794958926,0.06671467436868389,0.33039913117552644
related_not_close:age_group[T.51+],0.06574450471548893,0.09227669139345347,0.4761729074441199,-0.11511448702819704,0.2466034964591749
enjoyment_fun,0.21005785522846107,0.08921286294014251,0.018544192822326385,0.03520385690807365,0.3849118535488485
enjoyment_fun:age_group[T.21-30],0.022308301915120208,0.10369209165105633,0.8296582789072386,-0.18092446320257663,0.22554106703281704
