age,sex,autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape,spane_acnh_positive,spane_acnh_negative,spane_acnh_good,spane_acnh_bad,spane_acnh_pleasant,spane_acnh_unpleasant,spane_acnh_happy,spane_acnh_sad,spane_acnh_afraid,spane_acnh_joyful,spane_acnh_angry,spane_acnh_contented,Hours,happiness_value
44,2,5,3,4,5,5,7,2,1,4,5,4,4,4,1,1,4,5,4,2,3,2,4,1,4,1,3,4,1,5,1.77,2.33
20,3,7,6,6,6,5,6,5,5,2,7,1,1,7,2,2,4,2,6,1,6,1,6,1,6,1,1,6,1,4,1.44,4.67
23,1,6,6,6,6,6,5,6,6,3,6,2,2,6,4,6,6,7,4,4,6,4,5,2,6,3,2,6,2,2,1.13,2.0
28,2,4,5,6,7,3,7,5,5,3,7,4,1,5,4,7,5,6,4,2,4,2,3,2,3,4,1,5,3,1,1.91,1.0
34,1,6,6,6,7,5,5,5,5,2,6,2,2,7,2,3,5,5,5,2,5,2,7,1,5,2,1,3,1,7,2.03,3.83
35,2,7,7,7,7,7,7,5,5,2,7,1,1,7,1,6,5,7,4,1,3,1,5,1,3,1,1,3,1,4,1.67,2.67
25,1,7,7,7,7,7,4,5,5,2,7,2,4,6,1,1,4,4,7,1,7,1,7,1,7,1,1,7,1,4,1.0,5.5
23,1,5,4,3,3,5,5,5,5,3,4,5,3,3,1,5,3,5,5,2,5,2,5,2,5,2,2,5,2,5,1.81,3.0
18,1,6,5,6,6,5,4,5,6,2,6,3,5,5,5,6,4,5,6,2,6,2,5,2,6,1,1,6,2,5,1.28,4.0
33,1,7,7,7,7,7,7,7,7,1,7,2,1,7,3,7,3,7,6,1,6,1,6,1,7,2,1,6,1,7,3.06,5.17
24,2,4,4,5,4,5,5,5,5,3,5,4,4,5,3,1,1,4,4,1,4,1,3,1,4,1,1,4,1,1,1.31,2.33
31,2,3,6,5,4,4,3,5,5,2,5,4,4,4,4,4,5,5,3,2,5,2,6,2,6,3,1,3,3,4,1.01,2.33
26,1,5,6,5,6,5,6,5,5,3,6,3,2,6,5,3,6,4,4,2,5,3,5,2,5,2,2,4,1,5,2.01,2.67
60,1,7,7,7,7,7,7,7,7,1,7,1,1,7,7,7,7,7,7,1,7,1,7,1,7,1,1,7,1,7,2.89,6.0
25,1,7,6,6,6,7,7,5,5,3,7,3,2,6,2,5,2,5,6,3,6,3,6,1,6,2,1,2,1,4,1.81,3.17
22,2,5,6,6,6,6,6,5,5,3,7,4,2,6,2,5,5,6,7,2,7,2,7,2,7,1,1,7,2,7,1.13,5.33
20,1,6,7,5,7,5,5,5,5,2,7,2,2,6,1,6,2,7,6,2,6,2,5,3,4,4,1,5,2,6,1.81,3.0
32,1,7,5,7,7,7,7,5,5,3,6,5,1,7,1,7,4,7,5,1,4,2,5,1,6,2,1,5,1,5,1.01,3.67
42,1,7,6,5,7,7,7,5,5,3,7,1,2,7,2,5,5,5,6,2,5,2,6,2,5,2,2,5,3,6,1.58,3.33
38,2,5,6,6,6,7,7,5,5,5,6,2,2,6,1,1,1,4,5,2,5,1,5,1,5,1,1,5,1,5,1.31,3.83
21,2,5,5,5,6,5,5,5,5,3,6,3,2,6,1,2,2,5,6,1,6,1,6,1,6,1,6,6,1,6,1.21,4.17
23,3,6,5,6,7,7,7,5,5,3,6,4,2,6,2,7,6,7,5,1,6,1,7,1,6,1,1,6,1,7,2.55,5.17
24,1,3,1,6,7,5,7,5,5,5,3,7,7,3,6,5,7,2,1,3,4,4,4,4,4,4,1,4,6,5,1.07,0.0
25,1,6,6,7,5,7,7,6,6,2,7,2,1,7,2,5,3,5,7,1,6,1,6,1,6,1,1,5,1,4,2.08,4.67
20,1,7,7,7,7,7,7,5,5,3,7,5,3,7,6,7,6,7,7,2,7,1,7,1,7,1,1,7,1,7,1.81,5.83
58,2,6,5,5,6,7,7,5,5,3,7,2,2,6,3,6,5,6,6,2,6,2,4,2,5,2,2,3,3,6,2.48,2.83
